Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,Game Type
Jack Eichel,20212022,VGK,R,C,34,14,11,25,3,10,0.74,11,17,3,8,0,0,0,2,133,10.5,19:24,48.6,1996-10-28,North Chelmsford,MA,USA,USA,74,206,2015,1,2,20152016,N,Regular Season
Aaron Ekblad,20212022,FLA,R,D,61,15,42,57,38,26,0.93,12,34,3,20,0,3,2,2,180,8.3,24:55,--,1996-02-07,Windsor,ON,CAN,CAN,76,220,2014,1,1,20142015,N,Regular Season
Mattias Ekholm,20212022,NSH,L,D,76,6,25,31,14,44,0.41,6,26,0,4,0,1,0,1,145,4.1,23:29,--,1990-05-24,Borlange,--,SWE,SWE,77,225,2009,4,102,20112012,N,Regular Season
William Eklund,20212022,SJS,L,L,9,0,4,4,-3,2,0.44,0,1,0,3,0,0,0,0,8,0,14:20,37.5,2002-10-12,Stockholm,--,SWE,SWE,71,181,2021,1,7,20212022,N,Regular Season
Oliver Ekman-Larsson,20212022,VAN,L,D,79,5,24,29,5,52,0.37,2,19,3,10,0,0,0,1,168,3,22:19,--,1991-07-17,Karlskrona,--,SWE,SWE,74,192,2009,1,6,20102011,N,Regular Season
Remi Elie,20212022,TBL,L,L,1,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,2,0,10:57,--,1995-04-16,Cornwall,ON,CAN,CAN,73,215,2013,2,40,20162017,N,Regular Season
Lars Eller,20212022,WSH,L,C,72,13,18,31,-4,40,0.43,13,29,0,2,0,0,1,2,116,11.2,16:07,49.5,1989-05-08,Rodovre,--,DNK,DNK,74,208,2007,1,13,20092010,N,Regular Season
Ryan Ellis,20212022,PHI,R,D,4,1,4,5,2,0,1.25,1,3,0,2,0,0,0,0,6,16.7,22:48,--,1991-01-03,Hamilton,ON,CAN,CAN,70,180,2009,1,11,20112012,N,Regular Season
Turner Elson,20212022,DET,L,C,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,13:23,--,1992-09-13,New Westminster,BC,CAN,CAN,72,188,--,--,--,20152016,N,Regular Season
Pierre Engvall,20212022,TOR,L,L,78,15,20,35,13,30,0.45,12,29,1,3,2,3,0,3,154,9.7,13:17,42,1996-05-31,Ljungby,--,SWE,SWE,77,215,2014,7,188,20192020,N,Regular Season
Tyler Ennis,20212022,OTT,L,R,57,8,16,24,-6,16,0.42,7,20,1,4,0,0,0,1,89,9,12:33,69,1989-10-06,Edmonton,AB,CAN,CAN,69,160,2008,1,26,20092010,N,Regular Season
MacKenzie Entwistle,20212022,CHI,R,R,55,5,7,12,-16,23,0.22,4,11,0,0,1,1,0,0,34,14.7,10:15,40,1999-07-14,Georgetown,ON,CAN,CAN,75,203,2017,3,69,20202021,N,Regular Season
Loui Eriksson,20212022,ARI,L,L,73,3,16,19,-18,6,0.26,2,17,0,1,1,1,0,0,81,3.7,12:55,55.6,1985-07-17,Gothenburg,--,SWE,SWE,74,179,2003,2,33,20062007,N,Regular Season
Joel Eriksson Ek,20212022,MIN,L,C,77,26,23,49,16,28,0.64,14,32,12,17,0,0,2,3,223,11.7,18:35,47.6,1997-01-29,Karlstad,--,SWE,SWE,75,207,2015,1,20,20162017,N,Regular Season
Adam Erne,20212022,DET,L,L,79,6,13,19,-22,34,0.24,6,19,0,0,0,0,0,1,108,5.6,13:23,52.3,1995-04-20,New Haven,CT,USA,USA,73,215,2013,2,33,20162017,N,Regular Season
Jake Evans,20212022,MTL,R,C,72,13,16,29,-5,22,0.4,13,28,0,0,0,1,0,0,124,10.5,15:36,49.8,1996-06-02,Toronto,ON,CAN,CAN,72,190,2014,7,207,20192020,N,Regular Season
Michael Eyssimont,20212022,WPG,L,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5:49,--,1996-09-09,Littleton,CO,USA,USA,72,191,2016,5,142,20212022,N,Regular Season
Robby Fabbri,20212022,DET,L,C,56,17,13,30,-23,35,0.54,11,22,6,8,0,0,0,1,123,13.8,17:20,49.5,1996-01-22,Mississauga,ON,CAN,CAN,71,185,2014,1,21,20152016,N,Regular Season
Dante Fabbro,20212022,NSH,R,D,66,3,21,24,13,24,0.36,3,24,0,0,0,0,0,0,88,3.4,19:03,--,1998-06-20,Coquitlam,BC,CAN,CAN,72,189,2016,1,17,20182019,N,Regular Season
Samuel Fagemo,20212022,LAK,R,L,4,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,5,0,13:43,--,2000-03-14,Göteborg,--,SWE,SWE,72,200,2019,2,50,20212022,N,Regular Season
Radek Faksa,20212022,DAL,L,C,77,5,14,19,-20,52,0.25,3,16,1,1,1,2,0,1,89,5.6,15:46,55.1,1994-01-09,Vitkov,--,CZE,CZE,75,215,2012,1,13,20152016,N,Regular Season
Joel Farabee,20212022,PHI,L,L,63,17,17,34,-11,50,0.54,15,30,1,3,1,1,0,1,119,14.3,17:35,28.7,2000-02-25,Syracuse,NY,USA,USA,72,186,2018,1,14,20192020,N,Regular Season
Hudson Fasching,20212022,ARI,R,R,11,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,3,0,9:53,100,1995-07-28,Apple Valley,MN,USA,USA,75,209,2013,4,118,20152016,N,Regular Season
Jesper Fast,20212022,CAR,R,R,82,14,20,34,24,4,0.41,13,31,1,2,0,1,0,1,97,14.4,14:49,41.4,1991-12-02,Nassjo,--,SWE,SWE,73,191,2010,6,157,20132014,N,Regular Season
Justin Faulk,20212022,STL,R,D,76,16,31,47,41,43,0.62,15,40,1,7,0,0,1,6,167,9.6,23:12,--,1992-03-20,South St. Paul,MN,USA,USA,72,214,2010,2,37,20112012,N,Regular Season
Martin Fehervary,20212022,WSH,L,D,79,8,9,17,15,26,0.22,7,15,0,0,1,2,0,2,96,8.3,19:39,--,1999-10-06,Bratislava,--,SVK,SVK,74,199,2018,2,46,20192020,N,Regular Season
Mario Ferraro,20212022,SJS,L,D,63,2,12,14,-5,16,0.22,2,14,0,0,0,0,0,1,49,4.1,23:00,--,1998-09-17,Toronto,ON,CAN,CAN,72,209,2017,2,49,20192020,N,Regular Season
Kevin Fiala,20212022,MIN,L,L,82,33,52,85,23,52,1.04,27,67,5,17,1,1,1,7,262,12.6,17:39,26.7,1996-07-22,St. Gallen,--,CHE,CHE,72,205,2014,1,11,20142015,N,Regular Season
Christian Fischer,20212022,ARI,R,R,53,5,5,10,-15,14,0.19,4,9,1,1,0,0,0,0,76,6.6,13:07,34.1,1997-04-15,Chicago,IL,USA,USA,74,212,2015,2,32,20162017,N,Regular Season
Casey Fitzgerald,20212022,BUF,R,D,36,0,6,6,-19,36,0.17,0,6,0,0,0,0,0,0,41,0,16:53,--,1997-02-25,North Reading,MA,USA,USA,72,187,2016,3,86,20212022,N,Regular Season
Trey Fix-Wolansky,20212022,CBJ,R,R,6,1,1,2,-1,0,0.33,1,2,0,0,0,0,0,0,5,20,6:17,--,1999-05-26,Edmonton,AB,CAN,CAN,67,193,2018,7,204,20212022,N,Regular Season
Cale Fleury,20212022,SEA,R,D,9,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,4,0,14:34,--,1998-11-19,Carlyle,SK,CAN,CAN,73,204,2017,3,87,20192020,N,Regular Season
Haydn Fleury,20212022,SEA,L,D,36,2,2,4,0,13,0.11,2,4,0,0,0,0,0,1,52,3.9,16:17,--,1996-07-08,Carlyle,SK,CAN,CAN,76,207,2014,1,7,20172018,N,Regular Season
Warren Foegele,20212022,EDM,L,L,82,12,14,26,-9,24,0.32,10,23,2,3,0,0,0,3,142,8.5,12:37,46.4,1996-04-01,Markham,ON,CAN,CAN,74,204,2014,3,67,20172018,N,Regular Season
Steven Fogarty,20212022,BOS,R,C,2,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,2,0,10:18,41.2,1993-04-19,Chambersburg,PA,USA,USA,75,204,2011,3,72,20172018,N,Regular Season
Marcus Foligno,20212022,MIN,L,L,74,23,19,42,25,112,0.57,18,35,5,7,0,0,1,3,98,23.5,16:24,60,1991-08-10,Buffalo,NY,USA,CAN,75,226,2009,4,104,20112012,N,Regular Season
Nick Foligno,20212022,BOS,L,L,64,2,11,13,-13,61,0.2,2,12,0,1,0,0,0,0,99,2,12:28,56.4,1987-10-31,Buffalo,NY,USA,USA,72,210,2006,1,28,20072008,N,Regular Season
Cal Foote,20212022,TBL,R,D,56,2,7,9,6,29,0.16,2,9,0,0,0,0,0,0,49,4.1,13:08,--,1998-12-13,Denver,CO,USA,USA,77,224,2017,1,14,20202021,N,Regular Season
Nolan Foote,20212022,NJD,L,L,7,3,1,4,3,0,0.57,3,4,0,0,0,0,0,0,10,30,10:22,0,2000-11-29,Denver,CO,USA,USA,75,196,2019,1,27,20202021,N,Regular Season
Derek Forbort,20212022,BOS,L,D,76,4,10,14,2,48,0.18,4,13,0,0,0,1,0,1,64,6.3,18:07,--,1992-03-04,Duluth,MN,USA,USA,76,216,2010,1,15,20152016,N,Regular Season
Alex Formenton,20212022,OTT,L,L,79,18,14,32,-13,59,0.41,13,26,0,0,5,6,0,1,162,11.1,15:27,40,1999-09-13,Barrie,ON,CAN,CAN,75,195,2017,2,47,20172018,N,Regular Season
Filip Forsberg,20212022,NSH,R,L,69,42,42,84,12,22,1.22,32,57,10,27,0,0,1,8,226,18.6,18:06,100,1994-08-13,Ostervala,--,SWE,SWE,73,205,2012,1,11,20122013,N,Regular Season
Gustav Forsling,20212022,FLA,L,D,71,10,27,37,41,18,0.52,10,37,0,0,0,0,1,1,145,6.9,21:13,--,1996-06-12,Linkoping,--,SWE,SWE,73,199,2014,5,126,20162017,N,Regular Season
Gabriel Fortier,20212022,TBL,L,L,10,1,0,1,-2,4,0.1,1,1,0,0,0,0,0,0,14,7.1,9:17,100,2000-02-06,Lachine,QC,CAN,CAN,71,179,2018,2,59,20212022,N,Regular Season
Liam Foudy,20212022,CBJ,L,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,11:51,--,2000-02-04,Scarborough,ON,CAN,CAN,73,186,2018,1,18,20192020,N,Regular Season
Cam Fowler,20212022,ANA,L,D,76,9,33,42,-9,14,0.55,3,24,6,18,0,0,0,1,124,7.3,24:25,--,1991-12-05,Windsor,ON,CAN,USA,74,210,2010,1,12,20102011,N,Regular Season
Adam Fox,20212022,NYR,R,D,78,11,63,74,18,26,0.95,10,39,0,33,1,2,1,2,158,7,23:54,--,1998-02-17,Jericho,NY,USA,USA,71,180,2016,3,66,20192020,N,Regular Season
Trent Frederic,20212022,BOS,L,C,60,8,10,18,10,57,0.3,8,18,0,0,0,0,0,1,100,8,11:39,39.3,1998-02-11,St. Louis,MO,USA,USA,75,221,2016,1,29,20182019,N,Regular Season
Mark Friedman,20212022,PIT,R,D,26,1,4,5,1,23,0.19,1,5,0,0,0,0,0,1,27,3.7,13:17,--,1995-12-25,Toronto,ON,CAN,CAN,71,185,2014,3,86,20182019,N,Regular Season
Martin Frk,20212022,LAK,R,R,6,2,0,2,-4,2,0.33,0,0,2,2,0,0,0,0,15,13.3,14:02,--,1993-10-05,Pelhrimov,--,CZE,CZE,73,210,2012,2,49,20162017,N,Regular Season
Jesper Froden,20212022,BOS,R,R,7,1,0,1,4,2,0.14,1,1,0,0,0,0,0,0,10,10,12:52,--,1994-09-21,Stockholm,--,SWE,SWE,70,179,--,--,--,20212022,N,Regular Season
Morgan Frost,20212022,PHI,L,C,55,5,11,16,-11,14,0.29,4,14,1,2,0,0,0,0,85,5.9,13:55,48.4,1999-05-14,Aurora,ON,CAN,CAN,72,193,2017,1,27,20192020,N,Regular Season
Kurtis Gabriel,20212022,CHI,R,R,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,6:02,--,1993-04-20,Newmarket,ON,CAN,CAN,78,212,2013,3,81,20152016,N,Regular Season
Jonah Gadjovich,20212022,SJS,L,L,43,1,2,3,-9,74,0.07,1,3,0,0,0,0,0,0,36,2.8,8:45,33.3,1998-10-12,Whitby,ON,CAN,CAN,75,211,2017,2,55,20202021,N,Regular Season
Sam Gagner,20212022,DET,R,C,81,13,18,31,-4,32,0.38,12,29,0,1,1,1,0,0,132,9.9,13:37,46.7,1989-08-10,London,ON,CAN,CAN,71,200,2007,1,6,20072008,N,Regular Season
Alex Galchenyuk,20212022,ARI,L,C,60,6,15,21,-11,32,0.35,6,20,0,1,0,0,0,0,89,6.7,13:09,52.3,1994-02-12,Milwaukee,WI,USA,USA,73,194,2012,1,3,20122013,N,Regular Season
Brendan Gallagher,20212022,MTL,R,R,56,7,17,24,-7,69,0.43,2,17,5,7,0,0,0,0,142,4.9,15:01,37.1,1992-05-06,Edmonton,AB,CAN,CAN,69,185,2010,5,147,20122013,N,Regular Season
Jakub Galvas,20212022,CHI,L,D,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,18:10,--,1999-06-15,Ostrava,--,CZE,CZE,71,161,2017,5,150,20212022,N,Regular Season
Dylan Gambrell,20212022,OTT,R,C,63,3,4,7,2,12,0.11,2,6,0,0,1,1,0,0,58,5.2,12:08,48.8,1996-08-26,Bonney Lake,WA,USA,USA,72,191,2016,2,60,20172018,N,Regular Season
Rhett Gardner,20212022,DAL,L,C,4,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,--,8:06,45.5,1996-02-28,Moose Jaw,SK,CAN,CAN,75,210,2016,4,116,20192020,N,Regular Season
Conor Garland,20212022,VAN,R,R,77,19,33,52,18,36,0.68,18,49,1,3,0,0,0,3,203,9.4,16:24,50,1996-03-11,Scituate,MA,USA,USA,70,165,2015,5,123,20182019,N,Regular Season
Adam Gaudette,20212022,"CHI,OTT",R,R,58,5,9,14,-9,17,0.24,3,12,2,2,0,0,0,1,94,5.3,11:19,44.1,1996-10-03,Braintree,MA,USA,USA,73,187,2015,5,149,20172018,N,Regular Season
Frederick Gaudreau,20212022,MIN,R,C,76,14,30,44,12,8,0.58,13,39,1,3,0,2,1,4,132,10.6,16:19,50,1993-05-01,Bromont,QC,CAN,CAN,72,184,--,--,--,20162017,N,Regular Season
Johnny Gaudreau,20212022,CGY,L,L,82,40,75,115,64,26,1.4,34,90,6,25,0,0,2,9,262,15.3,18:34,100,1993-08-13,Salem,NJ,USA,USA,69,163,2011,4,104,20132014,N,Regular Season
Brendan Gaunce,20212022,CBJ,L,C,30,5,2,7,2,12,0.23,5,7,0,0,0,0,0,0,44,11.4,8:06,52.4,1994-03-25,Sudbury,ON,CAN,CAN,75,219,2012,1,26,20152016,N,Regular Season
Frederik Gauthier,20212022,NJD,L,C,8,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,4,0,11:06,44,1995-04-26,Laval,QC,CAN,CAN,77,239,2013,1,21,20152016,N,Regular Season
Julien Gauthier,20212022,NYR,R,R,49,3,4,7,-9,8,0.14,3,7,0,0,0,0,0,1,69,4.4,10:18,33.3,1997-10-15,Pointe-aux-Trembles,QC,CAN,CAN,76,225,2016,1,21,20192020,N,Regular Season
Vladislav Gavrikov,20212022,CBJ,L,D,80,5,28,33,-3,68,0.41,5,32,0,0,0,1,0,1,108,4.6,22:17,--,1995-11-21,Yaroslavl,--,RUS,RUS,75,220,2015,6,159,20192020,N,Regular Season
Glenn Gawdin,20212022,CGY,R,C,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,9:15,27.3,1997-03-25,Richmond,BC,CAN,CAN,73,195,2015,4,116,20202021,N,Regular Season
Morgan Geekie,20212022,SEA,R,C,73,7,15,22,-16,18,0.3,7,18,0,4,0,0,0,0,97,7.2,12:36,52.5,1998-07-20,Strathclair,MB,CAN,CAN,75,208,2017,3,67,20192020,N,Regular Season
Mason Geertsen,20212022,NJD,L,L,25,0,0,0,-6,77,0,0,0,0,0,0,0,0,0,12,0,6:57,--,1995-04-19,Drayton Valley,AB,CAN,CAN,76,231,2013,4,93,20212022,N,Regular Season
Tim Gettinger,20212022,NYR,L,L,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9:28,50,1998-04-14,Cleveland,OH,USA,USA,78,222,2016,5,141,20182019,N,Regular Season
Ryan Getzlaf,20212022,ANA,R,C,56,3,34,37,-14,29,0.66,1,26,2,11,0,0,0,1,104,2.9,18:57,53.3,1985-05-10,Regina,SK,CAN,CAN,76,220,2003,1,19,20052006,N,Regular Season
Mark Giordano,20212022,"SEA,TOR",L,D,75,8,27,35,-9,57,0.47,6,21,0,12,2,2,1,1,151,5.3,20:53,--,1983-10-03,Toronto,ON,CAN,CAN,72,202,--,--,--,20052006,N,Regular Season
Samuel Girard,20212022,COL,L,D,67,5,23,28,-4,20,0.42,5,21,0,7,0,0,0,1,79,6.3,21:39,--,1998-05-12,Roberval,QC,CAN,CAN,70,170,2016,2,47,20172018,N,Regular Season
Zemgus Girgensons,20212022,BUF,L,C,56,10,8,18,-7,27,0.32,7,14,3,4,0,0,0,1,92,10.9,14:47,49.8,1994-01-05,Riga,--,LVA,LVA,75,192,2012,1,14,20132014,N,Regular Season
Claude Giroux,20212022,"PHI,FLA",R,R,75,21,44,65,-5,26,0.87,16,42,5,23,0,0,0,0,205,10.2,19:04,60.3,1988-01-12,Hearst,ON,CAN,CAN,71,188,2006,1,22,20072008,N,Regular Season
Cody Glass,20212022,NSH,R,C,8,0,1,1,0,0,0.13,0,1,0,0,0,0,0,0,9,0,11:25,35.1,1999-04-01,Winnipeg,MB,CAN,CAN,75,201,2017,1,6,20192020,N,Regular Season
Luke Glendening,20212022,DAL,R,C,82,9,7,16,-17,15,0.2,9,14,0,0,0,2,0,1,116,7.8,14:07,58.7,1989-04-28,Grand Rapids,MI,USA,USA,71,190,--,--,--,20132014,N,Regular Season
Alex Goligoski,20212022,MIN,L,D,72,2,28,30,41,34,0.42,2,26,0,4,0,0,0,0,80,2.5,18:56,--,1985-07-30,Grand Rapids,MN,USA,USA,71,173,2004,2,61,20072008,N,Regular Season
Barclay Goodrow,20212022,NYR,L,C,79,13,20,33,13,69,0.42,12,29,0,0,1,4,0,2,116,11.2,16:43,49.4,1993-02-26,Toronto,ON,CAN,CAN,74,209,--,--,--,20142015,N,Regular Season
Shayne Gostisbehere,20212022,ARI,L,D,82,14,37,51,-23,26,0.62,12,32,2,19,0,0,1,2,151,9.3,22:11,--,1993-04-20,Pembroke Pines,FL,USA,USA,71,183,2012,3,78,20142015,N,Regular Season
Yanni Gourde,20212022,SEA,L,C,74,21,27,48,-13,45,0.65,17,37,3,7,1,4,0,3,127,16.5,18:29,49.5,1991-12-15,Saint-Narcisse,QC,CAN,CAN,69,174,--,--,--,20152016,N,Regular Season
Mikael Granlund,20212022,NSH,L,C,80,11,53,64,-9,33,0.8,8,36,3,28,0,0,0,3,117,9.4,20:25,47.2,1992-02-26,Oulu,--,FIN,FIN,70,185,2010,1,9,20122013,N,Regular Season
Derek Grant,20212022,ANA,L,C,71,15,14,29,-16,27,0.41,12,25,2,2,1,2,0,1,117,12.8,14:19,48.6,1990-04-20,Abbotsford,BC,CAN,CAN,75,210,2008,4,119,20122013,N,Regular Season
Ryan Graves,20212022,NJD,L,D,75,6,22,28,-9,24,0.37,6,28,0,0,0,0,0,0,111,5.4,20:43,--,1995-05-21,Yarmouth,NS,CAN,CAN,77,222,2013,4,110,20182019,N,Regular Season
Anthony Greco,20212022,NYR,R,R,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9:44,--,1993-09-30,Queens,NY,USA,USA,70,179,--,--,--,20182019,N,Regular Season
Andy Greene,20212022,NYI,L,D,69,2,8,10,-13,10,0.14,2,10,0,0,0,0,0,0,52,3.9,17:25,--,1982-10-30,Trenton,MI,USA,USA,71,190,--,--,--,20062007,N,Regular Season
Jordan Greenway,20212022,MIN,L,L,62,10,17,27,26,69,0.44,9,25,1,2,0,0,0,3,110,9.1,14:34,36.7,1997-02-16,Canton,NY,USA,USA,78,231,2015,2,50,20172018,N,Regular Season
A.J. Greer,20212022,NJD,L,L,9,1,1,2,0,2,0.22,1,2,0,0,0,0,0,0,14,7.1,7:51,66.7,1996-12-14,Joliette,QC,CAN,CAN,75,209,2015,2,39,20162017,N,Regular Season
Noah Gregor,20212022,SJS,L,L,63,8,15,23,-21,25,0.37,8,20,0,3,0,0,0,1,156,5.1,14:56,34.3,1998-07-28,Beaumont,AB,CAN,CAN,72,201,2016,4,111,20192020,N,Regular Season
Seth Griffith,20212022,EDM,R,C,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,--,5:37,--,1993-01-04,Wallaceburg,ON,CAN,CAN,69,190,2012,5,131,20142015,N,Regular Season
Rocco Grimaldi,20212022,NSH,R,R,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,10:56,66.7,1993-02-08,Anaheim,CA,USA,USA,66,180,2011,2,33,20142015,N,Regular Season
Jordan Gross,20212022,COL,R,D,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,--,8:19,--,1995-05-09,Maple Grove,MN,USA,USA,70,190,--,--,--,20192020,N,Regular Season
Bo Groulx,20212022,ANA,L,C,18,1,2,3,0,2,0.17,1,3,0,0,0,0,0,0,17,5.9,11:00,45.8,2000-02-06,Rouen,--,FRA,CAN,74,202,2018,2,54,20212022,N,Regular Season
Carl Grundstrom,20212022,LAK,L,R,54,9,6,15,4,26,0.28,9,15,0,0,0,0,0,1,83,10.8,10:53,31.6,1997-12-01,Umea,--,SWE,SWE,72,200,2016,2,57,20182019,N,Regular Season
Matt Grzelcyk,20212022,BOS,L,D,73,4,20,24,22,24,0.33,4,19,0,5,0,0,1,2,118,3.4,18:44,--,1994-01-05,Charlestown,MA,USA,USA,70,180,2012,3,85,20162017,N,Regular Season
Radko Gudas,20212022,FLA,R,D,77,3,13,16,27,105,0.21,2,15,0,0,1,1,0,0,100,3,18:01,--,1990-06-05,Prague,--,CZE,CZE,72,208,2010,3,66,20122013,N,Regular Season
Erik Gudbranson,20212022,CGY,R,D,78,6,11,17,15,68,0.22,6,17,0,0,0,0,0,0,129,4.7,18:08,--,1992-01-07,Ottawa,ON,CAN,CAN,77,222,2010,1,3,20112012,N,Regular Season
Jake Guentzel,20212022,PIT,L,C,76,40,44,84,13,44,1.11,33,62,7,22,0,0,1,7,264,15.2,20:06,52,1994-10-06,Omaha,NE,USA,USA,71,178,2013,3,77,20162017,N,Regular Season
Brendan Guhle,20212022,ANA,L,D,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,14:40,--,1997-07-29,Edmonton,AB,CAN,CAN,74,197,2015,2,51,20162017,N,Regular Season
Denis Gurianov,20212022,DAL,L,R,73,11,20,31,2,16,0.42,7,24,4,7,0,0,1,2,144,7.6,14:11,--,1997-06-07,Togliatti,--,RUS,RUS,75,205,2015,1,12,20162017,N,Regular Season
David Gustafsson,20212022,WPG,L,C,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,2:28,0,2000-04-11,Tingsryd,--,SWE,SWE,74,196,2018,2,60,20192020,N,Regular Season
Erik Gustafsson,20212022,CHI,L,D,59,3,15,18,-4,14,0.31,3,14,0,4,0,0,0,0,79,3.8,16:13,--,1992-03-14,Nynashamn,--,SWE,SWE,73,189,2012,4,93,20152016,N,Regular Season
Brandon Hagel,20212022,"CHI,TBL",L,L,77,25,19,44,-18,31,0.57,20,35,4,6,1,3,0,3,125,20,16:21,42.1,1998-08-27,Saskatoon,SK,CAN,CAN,74,180,2016,6,159,20192020,N,Regular Season
Carl Hagelin,20212022,WSH,L,L,53,3,11,14,10,20,0.26,3,13,0,0,0,1,0,1,71,4.2,14:14,28.6,1988-08-23,Sodertalje,--,SWE,SWE,72,183,2007,6,168,20112012,N,Regular Season
Robert Hagg,20212022,"BUF,FLA",L,D,64,1,8,9,-9,35,0.14,1,9,0,0,0,0,0,0,59,1.7,16:01,--,1995-02-08,Uppsala,--,SWE,SWE,74,210,2013,2,41,20162017,N,Regular Season
Nicolas Hague,20212022,VGK,L,D,52,4,10,14,6,38,0.27,4,14,0,0,0,0,0,0,116,3.5,18:40,--,1998-12-05,Kitchener,ON,CAN,CAN,78,245,2017,2,34,20192020,N,Regular Season
Libor Hajek,20212022,NYR,L,D,17,0,1,1,-10,8,0.06,0,1,0,0,0,0,0,0,12,0,13:08,--,1998-02-04,Smrcek,--,CZE,CZE,74,209,2016,2,37,20182019,N,Regular Season
Jani Hakanpää,20212022,DAL,R,D,80,4,8,12,1,43,0.15,4,11,0,0,0,1,0,0,68,5.9,16:13,--,1992-03-31,Kirkkonummi,--,FIN,FIN,79,225,2010,4,104,20192020,N,Regular Season
Jayden Halbgewachs,20212022,SJS,L,L,3,0,1,1,1,4,0.33,0,1,0,0,0,0,0,0,7,0,13:06,--,1997-03-22,Regina,SK,CAN,CAN,68,160,--,--,--,20212022,N,Regular Season
Taylor Hall,20212022,BOS,L,L,81,20,41,61,11,42,0.75,13,46,7,15,0,0,1,3,217,9.2,16:25,46.2,1991-11-14,Calgary,AB,CAN,CAN,73,210,2010,1,1,20102011,N,Regular Season
Filip Hallander,20212022,PIT,L,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,5:52,--,2000-06-29,Sundsvall,--,SWE,SWE,73,190,2018,2,58,20212022,N,Regular Season
Dougie Hamilton,20212022,NJD,R,D,62,9,21,30,-19,34,0.48,7,22,2,8,0,0,1,1,197,4.6,21:13,--,1993-06-17,Toronto,ON,CAN,CAN,78,230,2011,1,9,20122013,N,Regular Season
Travis Hamonic,20212022,"VAN,OTT",R,D,43,4,6,10,6,14,0.23,4,10,0,0,0,0,0,0,82,4.9,18:51,--,1990-08-16,St. Malo,MB,CAN,CAN,72,195,2008,2,53,20102011,N,Regular Season
Noah Hanifin,20212022,CGY,L,D,81,10,38,48,27,19,0.59,9,34,1,13,0,1,0,1,189,5.3,21:18,--,1997-01-25,Boston,MA,USA,USA,75,206,2015,1,5,20152016,N,Regular Season
Joel Hanley,20212022,DAL,L,D,44,2,4,6,-13,4,0.14,2,6,0,0,0,0,0,0,18,11.1,11:56,--,1991-06-08,Keswick,ON,CAN,CAN,71,186,--,--,--,20152016,N,Regular Season
Mike Hardman,20212022,CHI,L,L,21,0,2,2,-6,11,0.1,0,2,0,0,0,0,0,0,12,0,9:18,50,1999-02-05,Hanover,MA,USA,USA,74,205,--,--,--,20202021,N,Regular Season
Jansen Harkins,20212022,WPG,L,C,77,7,6,13,-8,15,0.17,7,13,0,0,0,0,0,0,67,10.5,9:29,63.6,1997-05-23,Cleveland,OH,USA,USA,73,199,2015,2,47,20192020,N,Regular Season
Thomas Harley,20212022,DAL,L,D,34,1,3,4,-4,6,0.12,1,4,0,0,0,0,0,0,36,2.8,13:41,--,2001-08-19,Syracuse,NY,USA,USA,75,211,2019,1,18,20212022,N,Regular Season
Ben Harpur,20212022,NSH,L,D,19,0,1,1,-10,27,0.05,0,1,0,0,0,0,0,0,13,0,13:44,--,1995-01-12,Hamilton,ON,CAN,CAN,80,235,2013,4,108,20152016,N,Regular Season
Scott Harrington,20212022,CBJ,L,D,7,0,1,1,-4,6,0.14,0,1,0,0,0,0,0,0,5,0,14:28,--,1993-03-10,Kingston,ON,CAN,CAN,74,204,2011,2,54,20142015,N,Regular Season
Jordan Harris,20212022,MTL,L,D,10,1,0,1,3,8,0.1,1,1,0,0,0,0,0,0,9,11.1,16:17,--,2000-07-07,Haverhill,MA,USA,USA,71,187,2018,3,71,20212022,N,Regular Season
Ryan Hartman,20212022,MIN,R,R,82,34,31,65,31,95,0.79,33,57,1,8,0,0,1,7,239,14.2,18:11,44.8,1994-09-20,Hilton Head Island,SC,USA,USA,72,197,2013,1,30,20142015,N,Regular Season
